geoid,state,county,oztoolclassification,likelyrural,pop_2024,median_hhincome_2024,povrate_2024,unemprate_2024,jobs_2022,median_homevalue_2024,median_grossrent_2024,pct_own_2024,pct_severerentburden_2024,vacancyrate_2024,pct_age1824_2024,pct_white_2024,pct_black_2024,pct_latino_2024,pct_aapi_2024,pct_ba_2024,cbsa_type,classification,total_parcels,land_to_value_ratio,vacancy_proxy,market_activity_count,median_sale_price,owner_occupancy_rate,pct_residential,pct_commercial,pct_industrial,assessed_value_per_parcel,permits_total,permits_new_construction,permits_residential,permits_commercial,permit_trend,has_any_permits,stackability_count,has_stackability,stage1_result,job_density_score,dev_capacity_score,market_momentum_score,poverty_score,income_score,unemployment_score,stackability_score,composite_score,rank,recommended
24001002000,Maryland,Allegany County,Less likely to attract OZ investment,1,5369.0,65778.0,0.035107378,0.0,1141.0,163100.0,771.0,0.80366057,0.033898305,0.095900714,0.040603463,0.94263363,0.0037250884,0.0,0.027379401,0.18132992,Metro,Less Likely,,,,,,,,,,,,,,,,0,0,0,Advances to Scoring,0.053493862134088764,0.06880408228527743,0.7166438256167657,0.1253834928571428,0.4373749677694695,0.0,0.0,0.15851405178165484,348.0,0
24031700614,Maryland,Montgomery County,Less likely to attract OZ investment,0,5812.0,91402.0,0.061252579,0.0779844,479.0,333800.0,1890.0,0.65743637,0.23859191,0.024400871,0.017377838,0.28699243,0.29146594,0.27615279,0.094975911,0.52537596,Metro,Less Likely,,,,,,,,,,,,,,,,0,0,0,Advances to Scoring,0.022237960339943342,0.06880408228527743,0.7166438256167657,0.21875921071428572,0.2095473499835513,0.22566914955282089,0.0,0.15841440910761653,349.0,0
24510250101,Maryland,Baltimore city,Less likely to attract OZ investment,0,3776.0,66767.0,0.086656034,0.014948454,216.0,189800.0,1657.0,0.6167773,0.38267717,0.039976824,0.024364406,0.085540257,0.77860171,0.067266949,0.035487287,0.3395257,Metro,Less Likely,1294.0,0.108720450480091,0.061823802163833,214.0,117900.0,0.0,0.8021638330757341,0.0007727975270479,0.0,6141.06027820711,597.0,0.0,137.0,1.0,0.6583333333333333,1,0,0,Advances to Scoring,0.009820585457979225,0.04311727402270241,0.5645081611908697,0.3094858357142857,0.4285815899209574,0.043257432272473265,0.0,0.1573126935702415,350.0,0
24001001402,Maryland,Allegany County,Less likely to attract OZ investment,1,1399.0,73500.0,0.037518039,0.033613447,485.0,158700.0,959.0,0.78593749,0.02919708,0.14093959,0.071479626,0.91636884,0.037884202,0.0014295926,0.022873482,0.38166511,Metro,Less Likely,,,,,,,,,,,,,,,,0,0,0,Advances to Scoring,0.022521246458923512,0.06880408228527743,0.7166438256167657,0.13399299642857143,0.36871726934054116,0.09726968468089539,0.0,0.15142949754639837,351.0,0
24033801106,Maryland,Prince George's County,Likely to attract capital even without OZ designation,0,1578.0,79516.0,0.020356234,0.078767121,621.0,,2677.0,0.0,0.25,0.15862069,0.08491762,0.46831432,0.30608365,0.12737642,0.015842838,0.40841249,Metro,Already Attractive,,,,,,,,,,,,,,,,0,0,0,Advances to Scoring,0.028942398489140698,0.06880408228527743,0.7166438256167657,0.07270083571428565,0.31522792542077516,0.2279341664332115,0.0,0.14926624319652934,352.0,0
24033801406,Maryland,Prince George's County,Less likely to attract OZ investment,0,2640.0,78715.0,0.021590909,0.087338805,61.0,313600.0,1882.0,0.51987177,0.30974633,0.07692308,0.0045454544,0.030681819,0.67083335,0.21401516,0.015151516,0.35227767,Metro,Less Likely,,,,,,,,,,,,,,,,0,0,0,Advances to Scoring,0.002502360717658168,0.06880408228527743,0.7166438256167657,0.07711038928571423,0.3223497612717945,0.2527386739823563,0.0,0.1446922090898324,353.0,0
24009861004,Maryland,Calvert County,Less likely to attract OZ investment,1,7113.0,95276.0,0.054829188,0.018406594,57.0,292400.0,1902.0,0.93130988,0.058139537,0.058646616,0.052439194,0.70012653,0.1583017,0.052439194,0.0080134962,0.32896891,Metro,Less Likely,,,,,,,,,,,,,,,,0,0,0,Advances to Scoring,0.0023135033050047213,0.06880408228527743,0.7166438256167657,0.19581852857142856,0.17510291541819667,0.053264504364258176,0.0,0.13175915460408588,354.0,0
24017850201,Maryland,Charles County,Likely to attract capital even without OZ designation,1,1259.0,101518.0,0.023305085,0.0,173.0,265800.0,2854.0,0.49086162,0.12307692,0.047263682,0.22954726,0.53613979,0.26926133,0.081810959,0.069102459,0.39792898,Metro,Already Attractive,,,,,,,,,,,,,,,,0,0,0,Advances to Scoring,0.007790368271954674,0.06880408228527743,0.7166438256167657,0.08323244642857142,0.11960416462910439,0.0,0.0,0.1067032663446924,355.0,0
24033802901,Maryland,Prince George's County,Likely to attract capital even without OZ designation,0,4059.0,,0.16432619,0.21060383,529.0,349700.0,1310.0,0.51489359,0.11278196,0.035190616,0.01897019,0.010840109,0.72037446,0.24833703,0.0,0.27392739,Metro,Already Attractive,,,,,,,,,,,,,,,,0,1,1,Advances to Scoring,0.024598677998111426,0.06880408228527743,0.7166438256167657,0.58687925,,0.6094396726610305,0.3333333333333333,,356.0,0
24510271801,Maryland,Baltimore city,Likely to attract capital even without OZ designation,0,2537.0,,0.35925779,0.065352701,200.0,197500.0,751.0,0.43122977,0.48079658,0.17489986,0.012219156,0.023255814,0.94205755,0.002364998,0.015372487,0.13474801,Metro,Already Attractive,1260.0,0.0148896576292796,0.1809523809523809,287.0,60000.0,0.0,0.8944444444444445,0.0523809523809523,0.0,18030.846825396824,1138.0,3.0,286.0,21.0,0.7216338880484114,1,1,1,Advances to Scoring,0.009065155807365438,0.12454240413668557,0.6315017347016837,0.7169364642857143,,0.1891158802997752,0.3333333333333333,,356.0,0
